"Obec, mesto, mestská časť",Meno a priezvisko,Skratka politického subjektu
Horňany,Eva Šrámková,SMER-SD
Horné Srnie,Jozef Húserka,NEKA
Hrabovka,Eva Mráziková,NEKA
Chocholná-Velčice,Alena Bulková,NEKA
Ilava,Štefan Daško,NEKA
Ivanovce,Mária Hládeková,SMER-SD
Kameničany,Igor Daško,SNS
Kostolná-Záriečie,Miroslav Jančár,NEKA
Košeca,Radomír Brtáň,NEKA
Košecké Podhradie,Rastislav Čepák,SMER-SD
Krivoklát,Mária Prekopová,NEKA
Krivosúd-Bodovka,Vladimír Kmeťo,SMER-SD
Ladce,Jaroslav Koyš,NEKA
Melčice-Lieskové,Miroslav Matiáš,SMER-SD
Mikušovce,Viktor Buček,SMER-SD
Mníchova Lehota,Jozef Kováč,NEKA
Motešice,Martin Mach,NEKA
Nemšová,František Bagin,NEKA
Neporadza,Marián Kopecký,KDH
Nová Dubnica,Peter Marušinec,"SMER-SD, SDS, SNS, KSS"
Omšenie,Alojz Marček,NEKA
Opatovce,Janka Horňáková,NEKA
Petrova Lehota,Radko Rožánek,SMER-SD
Pruské,Viliam Cíbik,NEKA
Sedmerovec,Pavol Tichý,NEKA
Selec,Stanislav Svatik,NEKA
Skalka nad Váhom,Anton Horečný,NEKA
Slavnica,Anna Prekopová,KDH
Soblahov,Marian Hudec,NEKA
Svinná,Anna Sýkorová,NEKA
Štvrtok,Pavol Habdák,SMER-SD
Trenčianska Teplá,Milan Berec,SMER-SD
Trenčianska Turná,Peter Mikula,"KDH, SMER-SD"
Trenčianske Jastrabie,Zdeněk Frývaldský,SMER-SD
Trenčianske Mitice,Dušan Rozemberg,"SMER-SD, SDS"
Trenčianske Stankovce,Martin Markech,NEKA
Trenčianske Teplice,Štefan Škultéty,"SDKÚ-DS, KDH, NOVA, SIEŤ"
Trenčín,Richard Rybníček,NEKA
Tuchyňa,Gabriela Švecová,NEKA
Veľká Hradná,Anna Petríková,SMER-SD
Veľké Bierovce,Silvia Masárová,NEKA
Vršatské Podhradie,Pavol Husár,SMER-SD
Zamarovce,Stanislav Červeňan,"SMER-SD, KDH"
Zliechov,Anton Miko,SMER-SD
Bajč,Oto Virág,NEKA
Bátorove Kosihy,Roland Labancz,"SMK-MKP, MOST - HÍD"
Bodza,Vojtech Antal,NEKA
Bodzianske Lúky,Monika Aradi,SMK-MKP
Brestovec,Peter Tóth,NEKA
Búč,Ján Karkó,NEKA
Čalovec,Zoltán Molnár,NEKA
Číčov,Csaba Földes,SMK-MKP
Dedina Mládeže,Gabriela Gönczölová,NEKA
Dulovce,Štefan Caletka,SMER-SD
Holiare,Ladislav Rácz,SMK-MKP
Hurbanovo,Ildikó Basternáková,SMK-MKP
Chotín,František Magyari,MOST - HÍD
Imeľ,František Tyukos,NEKA
Iža,István Domin,SMK-MKP
Kameničná,Milan Lehocký,NEKA
Klížska Nemá,Rozália Szalay,SMK-MKP
Kolárovo,Árpád Horváth,SMK-MKP
Komárno,László Stubendek,NEKA
Kravany nad Dunajom,Gabriel Duka,SMK-MKP
Lipové,Dáša Kovácsová,NEKA
Marcelová,Ervin Varga,"SMK-MKP, MOST - HÍD"
Martovce,István Keszeg,SMK-MKP
Moča,Pál Banai Tóth,NEKA
Modrany,Štefan Édes,NEKA
Mudroňovo,Ľubomír Maťko,NEKA
Nesvady,Jozef Haris,NEKA
Okoličná na Ostrove,Iveta Feketeová,NEKA
Patince,Olga Szabó,SMK-MKP
Pribeta,Jozef Koša,MOST - HÍD
Radvaň nad Dunajom,Ľubomír Púchovský,NEKA
Sokolce,András Bartal,SMK-MKP
Svätý Peter,Jozef Jobbágy,NEKA
Šrobárová,Anna Šušoliaková,"KDH, SMER-SD"
Tôň,Imrich Bugár,NEKA
Trávnik,Karol Farkas,MOST - HÍD
Veľké Kosihy,Lajos Csóka,MOST - HÍD
Virt,Ján Kovács,SMK-MKP
Vrbová nad Váhom,Ladislav Forró,NEKA
Zemianska Olča,Gustáv Magyarics,NEKA
Zlatná na Ostrove,Eva Varjúová,"SMK-MKP, MOST - HÍD"
Bajka,Alojz Štrba,NEKA
Bátovce,Peter Burčo,"SMER-SD, SNS"
Beša,Miroslav Černák,SMK-MKP
Bielovce,Irena Skladanová,NEKA
Bohunice,Vladimíra Rišková,NEKA
Bory,Ladislav Szúdy,NEKA
Brhlovce,Danuše Francisciová,SMER-SD
Čajkov,Eva Uhnáková,SMER-SD
Čaka,Ludovit Viglaš,"KDH, SNS, SMER-SD"
Čata,Ján Varga,NEKA
Demandice,Attila Kürthy,SaS
Devičany,Dana Lančaričová,SNS
Dolná Seč,Eugen Čornák,NEKA
Dolné Semerovce,Vendelín Baláž,NEKA
Dolný Pial,Róbert Potocký,SMER-SD
Domadice,Marian Berkeš,NEKA
Drženice,Slavomír Baláž,SMER-SD
Farná,Vlasta Csomorová,SMK-MKP
Hokovce,Juraj Kis,SMK-MKP
Hontianska Vrbica,Karol Pilinský,MOST - HÍD
Hontianske Trsťany,Jozef Gálus,"SMER-SD, SNS"
Horná Seč,Edita Moravská,"SaS, SZ"
Horné Semerovce,Tomáš Pásztor,NEKA
Horné Turovce,Tomáš Sztyahula,NEKA
Horný Pial,Ľudovít Húdik,NEKA
Hrkovce,Gejza Nagy,SMK-MKP
Hronovce,Róbert Csudai,MOST - HÍD
Hronské Kľačany,Miroslav Kollár,SDKÚ-DS
Hronské Kosihy,Jozef Seneši,SMER-SD
Iňa,Jozef Rosipal,"SMER-SD, SNS, KDH"
Ipeľské Úľany,Magdalena Tóthová,SMK-MKP
Ipeľský Sokolec,Arnold Ozsvald,NEKA
Jabloňovce,Igor Hindi,NEKA
Jesenské,Jana Vančová,NEKA
Jur nad Hronom,Jozef Kovács,NEKA
Kalná nad Hronom,Ladislav Éhn,"SMER-SD, KSS, SMK-MKP"
Keť,Péter Molnár,NEKA
Kozárovce,Jozef Majer,NEKA
Krškany,Peter Kováčik,NEKA
Kubáňovo,Miroslav Kanala,MOST - HÍD
Kukučínov,Ľuba Tóthová,SMER-SD
Kuraľany,Dušan Mésároš,SMER-SD
Levice,Štefan Mišák,"SMER-SD, SNS, SZ"
Lok,Ján Márföldi,SMER-SD
Lontov,Štefan Kuczman,"MOST - HÍD, SMK-MKP"
Lula,Mária Farkašová,SNS
Málaš,Karol Streda,MOST - HÍD
Malé Kozmálovce,Ladislav Pisch,SMER-SD
Malé Ludince,Zoltán Bacsa,"SMK-MKP, MOST - HÍD"
Mýtne Ludany,Štefan Mojzeš,NEKA
Nová Dedina,Pavol Novák,SMER-SD
Nový Tekov,Ladislav Nagy,SMER-SD
Nýrovce,Zoltán Fekete,MOST - HÍD
Ondrejovce,Jozef Bielokostolský,NEKA
Pastovce,Oto Mészáros,NEKA
Pečenice,Štefan Valko,KDH
Plášťovce,Anikó Szkladányi Helység,MOST - HÍD
Plavé Vozokany,Štefan Gemeri,SMER-SD
Podlužany,Ida Kováčová,"SMER-SD, KDH"
Pohronský Ruskov,Ľudovít Nagy,"SMK-MKP, MOST - HÍD"
Pukanec,Ján Rievaj,"SMER-SD, SDKÚ-DS, SNS"
Rybník,Imrich Králik,"SNS, KDH"
Santovka,Ľubomír Lőrincz,"SMER-SD, KDH"
Sazdice,Zoltán Srna,SMK-MKP
Sikenica,Július Maďar,MOST - HÍD
Slatina,Arpád Bazsó,SMK-MKP
Starý Hrádok,Helena Szabóová,SMER-SD
Starý Tekov,Peter Štefan,"SMER-SD, KDH, SNS"
Šahy,Štefan Gregor,NEKA
Šalov,Renáta Kassaiová,"MOST - HÍD, SMK-MKP, SMER-SD"
Šarovce,Katarína Tabačeková,NEKA
Tehla,Ivan Žigrai,"MOST - HÍD, SDS, KDH"
Tekovské Lužany,Marián Kotora,"SMK-MKP, SMER-SD"
Tekovský Hrádok,Vojtech Ožvald,NEKA
Tlmače,Miroslav Kupči,NEKA
Tupá,Erika Holomeková,NEKA
Turá,Jozef Bogár,NEKA
Uhliská,Ferdinand Ďurdík,SMER-SD
Veľké Kozmálovce,Ľubomír Síkeľa,"SIEŤ, KDH, SNS"
Veľké Ludince,Zita Cseri,NEKA
Veľké Turovce,Jaroslav Péter,SMER-SD
Veľký Ďur,Peter Benko,SMER-SD
Vyškovce nad Ipľom,Jozef Gyurkovics,MOST - HÍD
Vyšné nad Hronom,Eva Madarásová,"SMK-MKP, SMER-SD"
Zalaba,Melinda Bögi Pathó,SMK-MKP
Zbrojníky,Emöke Fillová,NEKA
Želiezovce,Ondrej Juhász,NEKA
Žemberovce,Ján Kalman,SMER-SD
Žemliare,Andrea Gubíková,SMK-MKP
Alekšince,Radoslav Ťapušík,NEKA
Báb,Peter Nemeček,SNS
Babindol,Peter Ďurica,"MOST - HÍD, SMER-SD"
Bádice,Július Gál,SMER-SD
Beladice,Miroslav Lisý,SMER-SD
Cabaj-Čápor,Jozef Ligač,SMER-SD
Čab,Eva Andacká,NEKA
Čakajovce,Milan Greguš,"SNS, SMER-SD"
Čaradice,Vladislav Uličný,"SMER-SD, KDH"
Čechynce,Róbert Kupeček,NEKA
Čeľadice,Anton Laca,SMER-SD
Červený Hrádok,Bohumír Šabík,NEKA
Čierne Kľačany,Milan Švec,SMER-SD
Čifáre,Július Czapala,NEKA
Dolné Lefantovce,Miloslav Krajčík,SMER-SD
Dolné Obdokovce,Marián Paulisz,NEKA
Golianovo,Ľuboš Kolárik,"SMER-SD, KDH"
Horné Lefantovce,Jaroslav Jazvinský,NEKA
Hostie,Peter Štepianský,NEKA
Hosťová,Miroslav Brath,NEKA
Hosťovce,Peter Belica,NEKA
Hruboňovo,Vladimír Fabo,NEKA
Choča,Alena Záhoreczová,SMER-SD
Ivanka pri Nitre,Ľuboš Gál,SMER-SD
Jarok,Stanislav Sťahel,NEKA
Jedľové Kostoľany,Dušan Kazimír,SMER-SD
Jelenec,Ladislav Púchovský,NEKA
Jelšovce,Ladislav Hroššo,NEKA
Kapince,Margita Tabačeková,SMER-SD
Klasov,Ján Balázs,SMER-SD
Kolíňany,Róbert Balkó,"SMK-MKP, KDH, MOST - HÍD, NOVA"
Kostoľany pod Tribečom,Mária Segíňová,SMER-SD
Ladice,Juraj Farkaš,"MOST - HÍD, SMER-SD"
Lehota,Milan Chmelár,SMER-SD
Lovce,František Richter,SMER-SD
Lúčnica nad Žitavou,Ivan Michna,NEKA
Ľudovítová,Ľubomír Horák,SMER-SD
Lukáčovce,Igor Cok,NEKA
Lužianky,Jozef Bojda,NEKA
Machulince,Bohumil Bielik,NEKA
Malé Chyndice,Eva Belančíková,NEKA
Malé Vozokany,Jana Ďurčeková,NEKA
Malé Zálužie,Viera Predanocyová,ASV
Malý Cetín,Leonidas Charizopulos,SMER-SD
Malý Lapáš,Peter Vavro,SMER-SD
Mankovce,Jaroslav Belúch,SMER-SD
Martin nad Žitavou,Slavomír Fabian,NEKA
Melek,Ján Ferus,NEKA
Mojmírovce,Martin Palka,NEKA
Nemčiňany,Jozef Keseg,NEKA
Neverice,Eduard Kajaba,SMER-SD
Nevidzany,Kristína Bónová,SMER-SD
Nitra,Jozef Dvonč,"SMER-SD, KDH, SNS"
Nitrianske Hrnčiarovce,Anna Vrábelová,NEKA
Nová Ves nad Žitavou,Marta Danková,NEKA
Nové Sady,Silvia Halvoníková,KDH
Obyce,Milan Garaj,NEKA
Paňa,Milan Korenči,SMER-SD
Podhorany,Magdaléna Bogyová,SMER-SD
Pohranice,Ladislav Hajdu,NEKA
Poľný Kesov,Ľubica Poluchová,NEKA
Rišňovce,Karol Laboš,SMER-SD
Rumanová,Jozef Jankovič,SMER-SD
Skýcov,Tomáš Kolembus,NEKA
Sľažany,Jozef Magát,SMER-SD
Slepčany,Ján Határ,SMER-SD
Svätoplukovo,Ivan Lobodáš,SMER-SD
Štefanovičová,Gabriela Arpášová,SMER-SD
Štitáre,Zuzana Vinkovičová,"SMER-SD, KDH, MOST - HÍD"
Šurianky,Viliam Búcora,SMER-SD
Tajná,Gabriela Šplehová,SMER-SD
Tekovské Nemce,Erika Valkovičová,SMER-SD
Telince,Norbert Kiss,"KDH, SMER-SD"
Tesárske Mlyňany,Štefan Valkovič,NEKA
Topoľčianky,Juraj Mesko,SMER-SD
Velčice,Ľubomír Gahír,SMER-SD
Veľká Dolina,Dana Cesneková,SMER-SD
Veľké Chyndice,Csaba Farkas,SMER-SD
Veľké Vozokany,Justína Pálková,NEKA
Veľké Zálužie,Milan Bíro,SMER-SD
Veľký Cetín,František Mészáros,NEKA
Veľký Lapáš,Ján Medáček,NEKA
Vieska nad Žitavou,Štefan Mladý,SMER-SD
Vinodol,Peter Straňák,SMER-SD
Volkovce,Ondrej Kozolka,NEKA
Vráble,Tibor Tóth,"SDKÚ-DS, SMER-SD"
Výčapy-Opatovce,Jozef Holúbek,NEKA
Zbehy,Ivan Habiňák,"SNS, SMER-SD"
Zlaté Moravce,Serafína Ostrihoňová,NEKA
Zlatno,Róbert Šlehobr,SMER-SD
Žikava,Martina Pružinská,SMER-SD
Žirany,Jozef Zsebi,NEKA
Žitavany,Juraj Obert,KSS
Žitavce,Stanislav Strieška,SMER-SD
Andovce,Mária Czuczor,SMK-MKP
Bajtava,Jozef Benkó,NEKA
Bánov,Helena Juríková,SMER-SD
Bardoňovo,Tibor Černák,SMK-MKP
Belá,Michal Varga,NEKA
Bešeňov,Gabriel Timoranský,NEKA
Bíňa,Eva Čákváriová,MOST - HÍD
Branovo,Andrea Šulíková,NEKA
Bruty,Alexander Hubač,MOST - HÍD
Čechy,Jozef Baranovič,SMER-SD
Černík,Ľudovít Kuťka,"SMER-SD, KDH"
Dedinka,Viera Belanová,SMER-SD
Dolný Ohaj,Ivan Solár,"KDH, SNS, SMER-SD"
Dubník,Jozef Ostrodický,NEKA
Dvory nad Žitavou,Branislav Becík,NEKA
Gbelce,František Szőcs,NEKA
Hul,Pavol Guláš,NEKA
Chľaba,Henrieta Kosznovszka,NEKA
Jasová,Miroslav Habara,SMER-SD
Jatov,Adriana Matúšeková,SMER-SD
Kamenica nad Hronom,Ján Elzer,SMER-SD
Kamenín,Jozef Grman,NEKA
Kamenný Most,Katarína Heiszlerová,NEKA
Kmeťovo,Pavol Toman,SMER-SD
Kolta,Ida Krnčanová,NEKA
Komjatice,Peter Hlavatý,NEKA
Komoča,Valéria Lukácsová,"MOST - HÍD, SMK-MKP"
Leľa,Alexander Mezei,NEKA
Lipová,Tatiana Ölvecká,NEKA
Ľubá,Silvia Esztergályosová,NEKA
Malá nad Hronom,Rita Pásztorová,MOST - HÍD
Malé Kosihy,Jozef Margala,NEKA
Maňa,Igor Sádovský,"SMER-SD, KDH"
Michal nad Žitavou,Peter Porubský,NEKA
Mojzesovo,Jozef Čunderlík,SMER-SD
Mužla,Iván Farkas,SMK-MKP
Nána,Dezider Molnár,NEKA
Nová Vieska,Valéria Geri,SMK-MKP
Nové Zámky,Otokar Klein,NEKA
Obid,Tibor Nagy,SMK-MKP
Palárikovo,Jozef Derňár,NEKA
Pavlová,Monika Górová,SMK-MKP
Podhájska,Vladimír Bakoš,NEKA
Pozba,Katarína Ivaničová,NEKA
Radava,Marian Chrenko,NEKA
Rastislavice,Miroslav Juhász,NEKA
Rúbaň,Štěpánka Zacharová,NEKA
Salka,Silvia Cagalová,NEKA
Semerovo,Ján Šima,SMER-SD
Sikenička,Katarína Grófová,NEKA
Strekov,Ján Téglás,NEKA
Svodín,Gabriel Vígh,SMK-MKP
Šarkan,Beáta Székelyová,NEKA
Štúrovo,Eugen Szabó,NEKA
Šurany,Marek Oremus,SMER-SD
Trávnica,Emil Ivan,NEKA
Tvrdošovce,Marián Tóth,MOST - HÍD
Úľany nad Žitavou,Juraj Ostrožlík,SMER-SD
Veľké Lovce,Libor Kráľ,SMER-SD
Veľký Kýr,Judita Valašková,NEKA
Vlkas,Imrich Slovák,SMER-SD
Zemné,János Bób,SMK-MKP
Diakovce,Kristína Jakócsová,NEKA
Dlhá nad Váhom,Pavol Tóth,NEKA
Hájske,Jozef Matušica,NEKA
Horná Kráľová,Emil Rábek,NEKA
Kráľová nad Váhom,Ferenc Bergendi,MOST - HÍD
Močenok,Roman Urbánik,"SMER-SD, KDH"
Neded,Štefan Jancsó,SMK-MKP
Selice,Igor Mandák,NEKA
Šaľa,Jozef Belický,NEKA
Tešedíkovo,Gyula Borsányi,SMK-MKP
Trnovec nad Váhom,Július Rábek,NEKA
Vlčany,Gyula Iván,SMK-MKP
Žihárec,Alajos Baranyay,SMK-MKP
Ardanovce,Ľubomíra Ondrejková,SMER-SD
Belince,Ľubomír Varga,"SMER-SD, SNS"
Biskupová,Stanislav Knížat,"SMER-SD, SNS"
Blesovce,Pavol Cabaj,SDKÚ-DS
Bojná,Jozef Stankovský,NEKA
Čeľadince,Milan Moravka,SNS
Čermany,Radovan Bobula,NEKA
Dvorany nad Nitrou,František Košecký,NEKA
Hajná Nová Ves,Ľuboš Koma,SMER-SD
Horné Chlebany,Jozef Ladický,SMER-SD
Horné Obdokovce,Jana Martonková,NEKA
Horné Štitáre,Martin Fulka,"SMER-SD, KDH"
Hrušovany,Jozef Benca,SMER-SD
Chrabrany,Jana Macková,NEKA
Jacovce,Jaroslav Božik,"SNS, SMER-SD"
Kamanová,Peter Hudec,SMER-SD
Koniarovce,Miroslav Konštiak,SMER-SD
Kovarce,Andrej Čopík,KDH
Krnča,Ľuboš Meluš,NEKA
Krtovce,Juraj Oravec,SMER-SD
Krušovce,Ivan Hubinský,SMER-SD
Kuzmice,Peter Mojžiš,SMER-SD
Lipovník,Dušan Turčan,SMER-SD
Ludanice,Ľubica Petráková,NEKA
Malé Ripňany,Pavol Gubáň,SMER-SD
Nemčice,Jozef Mokoš,"SMER-SD, SNS"
Nemečky,Viera Uhlárová,NEKA
Nitrianska Blatnica,Michal Toman,SMER-SD
Nitrianska Streda,Mária Majtánová,NEKA
Norovce,Peter Doval,KDH
Oponice,Peter Marko,"SDKÚ-DS, SMER-SD"
Orešany,Róbert Kopáčik,"SMER-SD, SNS"
Podhradie,Milan Štefkovič,KDH
Prašice,Erika Nemešová,SMER-SD
Práznovce,Jaroslav Blina,KSS
Preseľany,Juraj Trsťan,NEKA
Radošina,Marta Kolková,"SDKÚ-DS, SMER-SD"
Rajčany,Mária Švecová,NEKA
Solčany,Juraj Soboňa,"SNS, SMER-SD"
Solčianky,Dušan Ondruška,SMER-SD
Súlovce,Gabriel Svorad,"SNS, SMER-SD"
Svrbice,Vladimír Hromádka,"SMER-SD, KDH"
Šalgovce,Tibor Púček,SMER-SD
Tesáre,Daniel Bago,KDH
Topoľčany,Peter Baláž,"SMER-SD, SZ"
Tovarníky,Marián Nováčik,NEKA
Tvrdomestice,Jozef Beňo,NEKA
Urmince,Jozef Cifra,ND
Veľké Dvorany,Emil Dinga,NEKA
Veľké Ripňany,Jozef Krištof,"SMER-SD, SNS, KDH"
Velušovce,Rastislav Zemánik,NEKA
Vozokany,Jaroslav Bazala,SMER-SD
Závada,Ján Bajzík,KDH
Čadca,Milan Gura,"SMER-SD, KDH, SNS, SIEŤ, NOVA, SaS, SDKÚ-DS, KDS"
Čierne,Pavol Gomola,"SMER-SD, KDH, SNS"
Dlhá nad Kysucou,Helena Dzurinová,"SMER-SD, SNS"
Dunajov,Milada Chlastáková,NEKA
Klokočov,Veronika Haferová,NEKA
Klubina,Božena Poliačková,"SMER-SD, SNS, SDS"
Korňa,Štefan Belko,NEKA
Krásno nad Kysucou,Jozef Grapa,"SMER-SD, HZD, SNS"
Makov,Martin Pavlík,NEKA
Nová Bystrica,Jozef Balačin,NEKA
Olešná,Štefan Cudrák,SDS
Oščadnica,Marián Plevko,NEKA
Podvysoká,Milan Matlák,"SMER-SD, SNS, SDS"
Radôstka,Jaroslav Fekula,NEKA
Raková,Anton Heglas,"SMER-SD, KDH, SNS"
Skalité,Andrea Šimurdová,SDS
Stará Bystrica,Ján Podmanický,"SMER-SD, SNS"
Staškov,Ladislav Šimčisko,"SMER-SD, SNS"
Svrčinovec,Renáta Majchráková,NEKA
Turzovka,Ľubomír Golis,"SNS, SMER-SD"
Vysoká nad Kysucou,Anton Varecha,"SMER-SD, SNS"
Zákopčie,František Hažík,"SMER-SD, SNS"
Zborov nad Bystricou,Juraj Hlavatý,"SMER-SD, SNS, KDH, SIEŤ"
Bziny,Ján Beňuš,"SDKÚ-DS, SIEŤ, SNS"
Dlhá nad Oravou,Ján Kamas,"SMER-SD, SIEŤ, SDKÚ-DS"
Dolný Kubín,Roman Matejov,NEKA
Horná Lehota,Jozef Mikuláš,SMER-SD
Chlebnice,Milan Maxoň,KDH
Istebné,Lýdia Fačková,NEKA
Jasenová,Rajmund Bradík,NEKA
Kraľovany,Miloš Had,NEKA
Krivá,Juraj Leginus,NEKA
Leštiny,Miroslav Kovalčík,NEKA
Malatiná,Zdenko Kubáň,KDH
Medzibrodie nad Oravou,Michal Janota,KDH
Oravská Poruba,Peter Hrivnák,"SDKÚ-DS, SIEŤ"
Oravský Podzámok,Jozef Záhora,NEKA
Osádka,Miroslav Jurák,SMER-SD
Párnica,Milada Antalová,NEKA
Pokryváč,Miroslav Lupták,"SDKÚ-DS, SIEŤ"
Pribiš,Rastislav Suroviak,"SIEŤ, SDKÚ-DS"
Pucov,Metod Sojčák,NEKA
Sedliacka Dubová,Ladislav Tomáň,"SMER-SD, SIEŤ, SDKÚ-DS"
Veličná,Daniel Laura,NEKA
Vyšný Kubín,Viera Juráková,NEKA
Zázrivá,Matúš Mních,SMER-SD
Žaškov,Milan Pavlovčík,"SIEŤ, SDKÚ-DS"
Beňadiková,Ján Martinovič,NEKA
Bobrovček,Ladislav Staroň,NEKA
Bobrovec,Ladislav Sedlák,"KDH, SDKÚ-DS"
Bobrovník,Ivan Ivanovský,SDS
Bukovina,Pavol Debnár,SMER-SD
Demänovská Dolina,Ľubomíra Klepáčová,NEKA
Dúbrava,Vladimír Janičina,NEKA
Galovany,Miroslav Kubáň,NEKA
Gôtovany,Jozef Cút,NEKA
Huty,Juraj Staš,SMER-SD
Hybe,Martin Piovarči,SMER-SD
Jakubovany,Milan Zuzaniak,NEKA
Jalovec,Koloman Žalúdek,SDKÚ-DS
Jamník,Dušan Španko,NEKA
Konská,Miroslav Kamhal,NEKA
Kráľova Lehota,Vladimír Kapríni,NEKA
Kvačany,Jozef Grúň,NEKA
Lazisko,František Púčik,"SNS, SMER-SD"
Liptovská Anna,Ivan Bella,NEKA
Liptovská Kokava,Július Porubän,SMER-SD
Liptovská Porúbka,Jana Gazdičová,SMER-SD
Liptovská Sielnica,Igor Guráň,SMER-SD
Liptovské Beharovce,Jozef Malý,SNS
Liptovské Kľačany,Ján Hollý,NEKA
Liptovské Matiašovce,Ján Jaňák,KDH
Liptovský Hrádok,Branislav Tréger,NEKA
Liptovský Ján,Juraj Filo,NEKA
Liptovský Mikuláš,Ján Blcháč,"SMER-SD, SNS, SDS, SZ"
Liptovský Ondrej,Ľuboš Žubor,NEKA
Liptovský Peter,Anna Papajová,NEKA
Liptovský Trnovec,Karol Maťko,NEKA
Ľubeľa,Erik Gemzický,"SNS, SMER-SD"
Malatíny,Peter Pethö,SMER-SD
Malé Borové,Ján Kokoška,SDS
Malužiná,Martin Španko,SMER-SD
Nižná Boca,Silvia Skusilová,NEKA
Partizánska Ľupča,Ľubomír Frič,SMER-SD
Pavčina Lehota,Miroslav Ščasný,SNS
Pavlova Ves,Rudolf Tomko,SMER-SD
Podtureň,Marián Vojtík,SMER-SD
Pribylina,Milan Kohút,NEKA
Prosiek,Ivan Trnovský,NEKA
Smrečany,Vladimír Šiarnik,SDKÚ-DS
Svätý Kríž,Vladimír Feketík,SMER-SD
Trstené,Anna Naďová,SDKÚ-DS
Uhorská Ves,Vladimír Multáň,SMER-SD
Vavrišovo,Ľubica Chlebová,NEKA
Važec,Milan Lištiak,SMER-SD
Veľké Borové,Kamil Jančura,KDH
Veterná Poruba,Desana Stromková,NEKA
Vlachy,Ladislav Guoth,KDH
Východná,Juraj Blaško,NEKA
Vyšná Boca,Ľubica Trégerová,SMER-SD
Závažná Poruba,Pavel Beťko,NEKA
Žiar,Peter Moravčík,SMER-SD
Abramová,Milan Černák,SMER-SD
Belá-Dulice,Igor Kapusta,NEKA
Benice,Milan Remšík,SMER-SD
Blatnica,Ivica Súkeníková,NEKA
Blažovce,Dušan Lukáč,NEKA
Bodorová,Ján Fábry,SMER-SD
Borcová,Marcela Pavlásková,NEKA
Brieštie,Žaneta Lichnerová,SMER-SD
Budiš,Ivana Erteľová,SMER-SD
Bystrička,Zdenka Maršalová,NEKA
Čremošné,Zuzana Chorváthová,SMER-SD
Ďanová,Miroslav Ďanovský,NEKA
Diaková,Róbert Ivaška,SMER-SD
Dolný Kalník,Iveta Balšianková,NEKA
Dražkovce,Viera Šalagová,NEKA
Dubové,Ľubomír Lettrich,"SMER-SD, SNS"
Folkušová,Milan Sopóci,NEKA
Háj,Erika Herčúthová,NEKA
Horná Štubňa,Ondrej Piški,NEKA
Horný Kalník,Stanislav Rohoň,NEKA
Ivančiná,Róbert Kleskeň,SMER-SD
Jasenovo,Ján Škorvánek,SMER-SD
Jazernica,Ivan Gejdoš,NEKA
Kaľamenová,Martina Čičmancová,SMER-SD
Karlová,Adriana Malatová,SMER-SD
Kláštor pod Znievom,Erika Cintulová,NEKA
Košťany nad Turcom,Marián Bunganič,NEKA
Krpeľany,Jaroslav Kráľ,NEKA
Laskár,Lenka Janíková,NEKA
Ležiachov,Katarína Michálková,NEKA
Liešno,Zdenka Judáková,SMER-SD
Lipovec,Jozef Mada,NEKA
Malý Čepčín,Miroslava Sumková,ASV
Martin,Andrej Hrnčiar,SIEŤ
Moškovec,Anna Staňová,NEKA
Mošovce,Peter Košík,NEKA
Necpaly,Peter Majko,NEKA
Nolčovo,Vladimír Mihalik,SMER-SD
Ondrašová,Adam Staňo,SMER-SD
Podhradie,Bohuslav Bella,SMER-SD
Príbovce,Jaroslav Brzák,SMER-SD
Rakovo,Patrik Antal,SMER-SD
Rakša,Ján Grauzeľ,SMER-SD
Ratkovo,Rastislav Frkáň,SMER-SD
Rudno,Dušan Menich,SMER-SD
Sklabiňa,Július Ondrej,NEKA
Sklabinský Podzámok,Božena Drobková,SMER-SD
Sklené,Erika Lahutová,SMER-SD
Slovany,Marek Straka,NEKA
Slovenské Pravno,Eva Pálešová,NEKA
Socovce,Iveta Krupcová,NEKA
Sučany,Vladimír Plžik,NEKA
Šútovo,Ľubomír Maďari,SMER-SD
Trebostovo,Ivan Trimaj,SMER-SD
Trnovo,Ján Lukáč,NEKA
Turany,Miroslav Blahušiak,SMER-SD
Turček,Oľga Wagnerová,NEKA
Turčianska Štiavnička,Peter Očka,NEKA
Turčianske Jaseno,Rastislav Jesenský,NEKA
Turčianske Kľačany,Miroslav Lamoš,NEKA
Turčianske Teplice,Igor Hus,NEKA
Turčiansky Ďur,Peter Rusnák,SIEŤ
Turčiansky Peter,Ondrej Výbošťok,NEKA
Valča,Mária Ondráčková,NEKA
Veľký Čepčín,Jana Boďová,SMER-SD
Vrícko,František Hideg,NEKA
Vrútky,Miroslav Mazúr,NEKA
Záborie,Ján Záborský,NEKA
Žabokreky,Zuzana Valocká,NEKA
Babín,Martin Matys,NEKA
Beňadovo,Jaroslav Pepucha,SIEŤ
Bobrov,Anton Grobarčík,SMER-SD
Breza,Ladislav Matejčík,NEKA
Brezovica,Marián Ujmiak,KDH
Čimhová,Daniela Tretinová,SMER-SD
Habovka,Alojz Lajčin,NEKA
Hladovka,Marián Brnušák,NEKA
Hruštín,František Škapec,KDH
Klin,Štefan Peňák,NEKA
Krušetnica,Terézia Pacoňová,NEKA
Liesek,Martin Dreveňák,NEKA
Lokca,Miroslav Valčičák,KDH
Lomná,Jozef Straka,KDH
Mútne,Marián Murín,"SMER-SD, KDH"
